incorrect,correct,errors
"Easy lang, hindi iyon kailangan power play na ayaw ko silang makita sa presscon ko, alisin sila sa list ng mga invited, very harsh di!","Easy lang, hindi kailangan iyon power play na ayaw ko silang makita sa presscon ko, alisin sila sa list ng mga invited, very harsh di ba!","operations: delete, swap; errors: "
"Nauna rito ang sa isang survey sa may 1, 500 registered voters, na isinagawa ng Publicus Asia, nanguna si Go pagdating sa â € œoverall trustworthinessâ €  sa kasalukuyang mga miyembro ng Senado.","Nauna rito sa isang survey sa may 1, 500 registered voters, na isinagawa ng Publicus Asia, nanguna si Go pagdating sa â € œoverall trustworthinessâ €  sa kasalukuyang mga miyembro ng Senado.",operations: insert; errors: 
"Humataw sina Stephen Curry at Jordan Poole ng tig-27 puntos habang nagdagdag si Klay ng Thompson ng 26 puntos, tampok ang anim na tres, para buhatin ang Warriors sa lead 3-0.","Humataw sina Stephen Curry at Jordan Poole ng tig-27 puntos habang nagdagdag si Klay Thompson ng 26 puntos, tampok ang anim na tres, para buhatin ang Warriors sa 3-0 lead.","operations: swap, insert; errors: "
"Sinabi ni Dr. Maricar Limpin, pangulo ng Philippine College of Physicians, na nag-aalala rin sila ng baka hindi agad makaresponde ang pamahalaan kapag muling tumaas ang mga impeksyon dahil sa kakulangan na ng mga healthcare workers.","Sinabi ni Dr. Maricar Limpin, pangulo ng Philippine College of Physicians, na nag-aalala rin sila na baka hindi agad makaresponde ang pamahalaan kapag muling tumaas ang mga impeksyon dahil sa kakulangan na ng mga healthcare workers.",operations: substitute; errors: ligature
Pero marami-rami rin naman ang natuwa dahil updated daw sila sa ng singer sa kanyang pagiging ganap na ina.,Pero marami-rami rin naman ang natuwa dahil updated daw sila sa journey ng singer sa kanyang pagiging ganap na ina.,operations: delete; errors: 
"Dapat roon nga ma de-decongest yong ano eh, yong BuCor, paliwanag ni Catapang.","Dapat doon nga ma de-decongest yong ano eh, yong BuCor, paliwanag ni Catapang.",operations: substitute; errors: enclitic
Pagbukas umano nito ng pintuan ng kuwarto ay bumulaga sa kanya ang kababuyang ginagawa ng kaniyang misis at suspek na magkasiping mismong kama nila.,Pagbukas umano nito ng pintuan ng kuwarto ay bumulaga sa kanya ang kababuyang ginagawa ng kaniyang misis at suspek na magkasiping sa mismong kama nila.,operations: delete; errors: 
"100 % babae ka parin, kasi ur born bilang babae ang Ganda ng buhay na ipinagkaloob ng Panginoon sau, bat MO sinira pa??? Pati talent u super sikat bat anu na kain u idol ka ng buong Pilipinas pero sinayang moooo why???? Ang laking kasalanan mo sa taas nyan Kay LORD Tsakkkkkk.","100 % babae ka parin, kasi ur born bilang babae ang Ganda ng buhay na ipinagkaloob ng Panginoon sau, bat MO sinira??? Pati talent u super sikat bat anu na kain u idol ka ng buong Pilipinas pero sinayang moooo why???? Ang laking kasalanan mo sa taas nyan Kay LORD Tsakkkkkk.",operations: insert; errors: 
Nang malaman ang insidente mabilis na rumesponde ang nasabing chief tanod at tinangka nitong awatin ang suspek subalit siyang agad inatake saka at sinaksak ng bareta.,Nang malaman ang insidente mabilis na rumesponde ang nasabing chief tanod at tinangka nitong awatin ang suspek subalit agad siyang inatake saka hinataw at sinaksak ng bareta.,"operations: swap, delete; errors: "
"Continue to send your love to our 16 while they kill it in their swimwear and evening gown rounds, mabilis na komento nang dating Miss Universe matapos kumpletuhin sa stage ang pangalan ng pumasok sa Top 16.","Continue to send your love to our 16 while they kill it in their swimwear and evening gown rounds, mabilis na komento ng dating Miss Universe matapos kumpletuhin sa stage ang pangalan ng pumasok sa Top 16.",operations: substitute; errors: ng_nang
